assay,year,T_bin,tnut,condition_id,batch_id,replicate_id,split
24020,2024,med,6.0,CCD_T17_tnut6h,lot20240322,1,valid
24025,2024,med,78.0,CCD_T16_tnut78h,lot20240322,1,valid
24028,2024,low,54.0,CCD_T14_tnut54h,lot20240322,1,valid
24029,2024,med,54.0,CCD_T18_tnut54h,lot20240322,1,valid
24030,2024,high,24.0,CCD_T19_tnut24h,lot20240322,1,valid
SB003,2025,high,40.833333333333336,RICH_T21_A42h,lot20250313,1,valid
SB005,2025,high,40.833333333333336,RICH_T21_A42h,lot20250313,2,valid
SB007,2025,med,46.66666666666666,RICH_T18_A48h,lot20250325,1,valid
SB008,2025,med,46.66666666666666,RICH_T18_A48h,lot20250325,2,valid
SB012,2025,low,43.5,RICH_T15_A42h,lot20250421,1,valid
